CompanyName,year_stock,Close,Volume,Date,CeoName,extract
Amazon,1997,1.515625,1292400,7/1/1997,Jeff Bezos,1
Amazon,1997,2.416667,3588000,8/1/1997,Jeff Bezos,1
Amazon,1997,4.020833,4999200,10/1/1997,Jeff Bezos,1
Amazon,1997,4.270833,2383200,12/1/1997,Jeff Bezos,1
Amazon,1998,7.510417,14451600,4/1/1998,Jeff Bezos,1
Amazon,1998,7.875,9307200,5/1/1998,Jeff Bezos,1
Amazon,1998,7.135417,8043600,6/1/1998,Jeff Bezos,1
Amazon,1998,19.020834,28254600,7/1/1998,Jeff Bezos,1
Amazon,1998,13.325521,67450800,9/1/1998,Jeff Bezos,1
Amazon,1998,17.104166,34392000,10/1/1998,Jeff Bezos,1
Amazon,1998,34.916668,47154600,12/1/1998,Jeff Bezos,1
Amazon,1999,57.9375,12781000,2/1/1999,Jeff Bezos,1
Amazon,1999,66.5,19369000,3/1/1999,Jeff Bezos,1
Amazon,1999,85.5,11573200,4/1/1999,Jeff Bezos,1
Amazon,1999,52.90625,20076400,6/1/1999,Jeff Bezos,1
Amazon,1999,61.1875,14382800,7/1/1999,Jeff Bezos,1
Amazon,1999,59.53125,21961600,9/1/1999,Jeff Bezos,1
Amazon,1999,77.25,10430300,10/1/1999,Jeff Bezos,1
Amazon,1999,69.125,12824100,11/1/1999,Jeff Bezos,1
Amazon,1999,85,10663600,12/1/1999,Jeff Bezos,1
Amazon,2000,67.4375,13404600,2/1/2000,Jeff Bezos,1
Amazon,2000,65.875,5576700,3/1/2000,Jeff Bezos,1
Amazon,2000,59.9375,8578500,5/1/2000,Jeff Bezos,1
Amazon,2000,50.1875,7622200,6/1/2000,Jeff Bezos,1
Amazon,2000,30.25,8156400,8/1/2000,Jeff Bezos,1
Amazon,2000,41.5,3347100,9/1/2000,Jeff Bezos,1
Amazon,2000,37.375,11099200,11/1/2000,Jeff Bezos,1
Amazon,2000,24.625,7757400,12/1/2000,Jeff Bezos,1
Amazon,2001,16.25,9468700,2/1/2001,Jeff Bezos,1
Amazon,2001,10.4375,10996700,3/1/2001,Jeff Bezos,1
Amazon,2001,16.889999,5107900,5/1/2001,Jeff Bezos,1
Amazon,2001,16.950001,6468600,6/1/2001,Jeff Bezos,1
Amazon,2001,12.5,5510600,8/1/2001,Jeff Bezos,1
Amazon,2001,6.01,7994400,10/1/2001,Jeff Bezos,1
Amazon,2001,6.95,5053500,11/1/2001,Jeff Bezos,1
Amazon,2002,13.73,7801400,2/1/2002,Jeff Bezos,1
Amazon,2002,15.39,9839200,3/1/2002,Jeff Bezos,1
Amazon,2002,14.8,4767900,4/1/2002,Jeff Bezos,1
Amazon,2002,16.49,7701300,5/1/2002,Jeff Bezos,1
Amazon,2002,13.55,13536500,7/1/2002,Jeff Bezos,1
Amazon,2002,14.16,6066800,8/1/2002,Jeff Bezos,1
Amazon,2002,16.950001,9217300,10/1/2002,Jeff Bezos,1
Amazon,2002,19.799999,5549400,11/1/2002,Jeff Bezos,1
Amazon,2003,25.540001,9774000,4/1/2003,Jeff Bezos,1
Amazon,2003,28.66,7689200,5/1/2003,Jeff Bezos,1
Amazon,2003,37.25,7242800,7/1/2003,Jeff Bezos,1
Amazon,2003,40.029999,8805200,8/1/2003,Jeff Bezos,1
Amazon,2003,49.119999,12563800,10/1/2003,Jeff Bezos,1
Amazon,2003,54.650002,11522800,12/1/2003,Jeff Bezos,1
Amazon,2004,42.970001,4959500,3/1/2004,Jeff Bezos,1
Amazon,2004,44.740002,6508500,4/1/2004,Jeff Bezos,1
Amazon,2004,50.23,12940300,6/1/2004,Jeff Bezos,1
Amazon,2004,52.560001,7211900,7/1/2004,Jeff Bezos,1
Amazon,2004,38.240002,5252500,9/1/2004,Jeff Bezos,1
Amazon,2004,40.470001,11268900,10/1/2004,Jeff Bezos,1
Amazon,2004,35.099998,6181300,11/1/2004,Jeff Bezos,1
Amazon,2004,39.98,7756000,12/1/2004,Jeff Bezos,1
Amazon,2005,42.48,6761500,2/1/2005,Jeff Bezos,1
Amazon,2005,35.389999,5819000,3/1/2005,Jeff Bezos,1
Amazon,2005,34.009998,5018400,4/1/2005,Jeff Bezos,1
Amazon,2005,36.5,10320200,6/1/2005,Jeff Bezos,1
Amazon,2005,32.91,2932700,7/1/2005,Jeff Bezos,1
Amazon,2005,44.93,7127200,8/1/2005,Jeff Bezos,1
Amazon,2005,41.84,4429000,9/1/2005,Jeff Bezos,1
Amazon,2005,40.369999,5383000,11/1/2005,Jeff Bezos,1
Amazon,2005,49,7866700,12/1/2005,Jeff Bezos,1
Amazon,2006,43.98,7501400,2/1/2006,Jeff Bezos,1
Amazon,2006,37.119999,6981500,3/1/2006,Jeff Bezos,1
Amazon,2006,34.59,7072700,5/1/2006,Jeff Bezos,1
Amazon,2006,35.07,5932000,6/1/2006,Jeff Bezos,1
Amazon,2006,26.32,13128800,8/1/2006,Jeff Bezos,1
Amazon,2006,31.76,6563200,9/1/2006,Jeff Bezos,1
Amazon,2006,37.560001,6668900,11/1/2006,Jeff Bezos,1
Amazon,2006,39.41,8306100,12/1/2006,Jeff Bezos,1
Amazon,2007,38.700001,26123100,2/1/2007,Jeff Bezos,1
Amazon,2007,38.849998,9255800,3/1/2007,Jeff Bezos,1
Amazon,2007,62.040001,18519000,5/1/2007,Jeff Bezos,1
Amazon,2007,68.580002,7014500,6/1/2007,Jeff Bezos,1
Amazon,2007,77.309998,16918000,8/1/2007,Jeff Bezos,1
Amazon,2007,93.410004,5397400,10/1/2007,Jeff Bezos,1
Amazon,2007,87.650002,8265700,11/1/2007,Jeff Bezos,1
Amazon,2008,74.629997,16361000,2/1/2008,Jeff Bezos,1
Amazon,2008,76.699997,9734000,4/1/2008,Jeff Bezos,1
Amazon,2008,79.360001,7197000,5/1/2008,Jeff Bezos,1
Amazon,2008,73.620003,10292500,7/1/2008,Jeff Bezos,1
Amazon,2008,75.75,4774500,8/1/2008,Jeff Bezos,1
Amazon,2008,69.580002,9622200,10/1/2008,Jeff Bezos,1
Amazon,2008,40.470001,11178900,12/1/2008,Jeff Bezos,1
Amazon,2009,73.5,7041400,4/1/2009,Jeff Bezos,1
Amazon,2009,78.959999,6121700,5/1/2009,Jeff Bezos,1
Amazon,2009,83.050003,10796500,6/1/2009,Jeff Bezos,1
